file,mjd,jd,ra,dec,x,y
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139020247-s0092-1-2-0289-s_ffic.fits,60814.09073977431,2460814.5907397745,286.46116,-18.69379,554.6400805454763,18.47179138371083
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139020607-s0092-1-2-0289-s_ffic.fits,60814.09305473379,2460814.5930547337,286.46074,-18.69381,554.6304550293235,18.56596091708417
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139020927-s0092-1-2-0289-s_ffic.fits,60814.09536969908,2460814.595369699,286.46033,-18.69382,554.6362991990426,18.638658131012804
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139021247-s0092-1-2-0289-s_ffic.fits,60814.097684664346,2460814.597684664,286.45991,-18.69384,554.6402817855079,18.718777362208094
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139021607-s0092-1-2-0289-s_ffic.fits,60814.09999962963,2460814.5999996294,286.4595,-18.69385,554.6475655045754,18.795339185360532
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139021927-s0092-1-2-0289-s_ffic.fits,60814.10231459491,2460814.602314595,286.45908,-18.69387,554.6467934858356,18.87301273414466
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139022247-s0092-1-2-0289-s_ffic.fits,60814.1046295544,2460814.6046295543,286.45867,-18.69389,554.6465189707969,18.9439406098154
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139022607-s0092-1-2-0289-s_ffic.fits,60814.106944513886,2460814.606944514,286.45825,-18.6939,554.6568890084679,19.019292498935847
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139022927-s0092-1-2-0289-s_ffic.fits,60814.10925947917,2460814.609259479,286.45784,-18.69392,554.6601629889705,19.08788451246982
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139023247-s0092-1-2-0289-s_ffic.fits,60814.11157444444,2460814.6115744445,286.45742,-18.69393,554.6649387390293,19.163771667672876
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139023607-s0092-1-2-0289-s_ffic.fits,60814.113889409724,2460814.6138894097,286.45701,-18.69395,554.6734934722012,19.23306193640186
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139023927-s0092-1-2-0289-s_ffic.fits,60814.116204374994,2460814.616204375,286.45659,-18.69397,554.673053217679,19.30807319607355
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139024247-s0092-1-2-0289-s_ffic.fits,60814.118519334486,2460814.6185193346,286.45618,-18.69398,554.6767063265298,19.378607642520997
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139024607-s0092-1-2-0289-s_ffic.fits,60814.12083429398,2460814.620834294,286.45576,-18.694,554.6852172693032,19.453939574511686
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139024927-s0092-1-2-0289-s_ffic.fits,60814.12314925926,2460814.6231492595,286.45535,-18.69401,554.6873620649391,19.52606398364741
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139025247-s0092-1-2-0289-s_ffic.fits,60814.12546422453,2460814.6254642247,286.45493,-18.69403,554.6922218849712,19.601130688822785
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139025607-s0092-1-2-0289-s_ffic.fits,60814.12777918982,2460814.62777919,286.45452,-18.69405,554.691863861751,19.665292559053732
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139025927-s0092-1-2-0289-s_ffic.fits,60814.13009415509,2460814.630094155,286.4541,-18.69406,554.7088067381774,19.74867969872178
